buffer,epoch,train_loss,val_loss,running_val_avg
54,1,0.1762,0.1594,
54,2,0.1623,0.1582,
54,3,0.1578,0.161,0.18084609080795888
55,1,0.1646,0.1932,
55,2,0.1534,0.1975,
55,3,0.149,0.1991,0.18117860027334906
56,1,0.1455,0.1334,
56,2,0.1339,0.1262,
56,3,0.1294,0.1264,0.18020118733069726
57,1,0.1615,0.1746,
57,2,0.1472,0.1798,
57,3,0.1424,0.1801,0.18019861623383404
58,1,0.1451,0.1684,
58,2,0.134,0.1704,
58,3,0.1306,0.1717,0.1800513173742541
59,1,0.1418,0.1836,
59,2,0.1308,0.1851,
59,3,0.1272,0.1872,0.1801722008040396
60,1,0.1915,0.1578,
60,2,0.1742,0.1554,
60,3,0.1697,0.1561,0.17977058651546637
61,1,0.1506,0.1684,
61,2,0.1395,0.1675,
61,3,0.1357,0.1652,0.17953139018328462
62,1,0.1578,0.1943,
62,2,0.1473,0.1865,
62,3,0.1433,0.1858,0.17963179933928675
63,1,0.1587,0.1684,
63,2,0.1453,0.1726,
63,3,0.141,0.1689,0.17946138067377937
64,1,0.1774,0.2204,
64,2,0.1641,0.2217,
64,3,0.159,0.2219,0.18012378469575197
65,1,0.1782,0.1724,
65,2,0.1619,0.1729,
65,3,0.1557,0.1669,0.17992030485318258
66,1,0.1537,0.1377,
66,2,0.141,0.1349,
66,3,0.136,0.135,0.1792392386405757
67,1,0.1433,0.1422,
67,2,0.13,0.1431,
67,3,0.1245,0.1441,0.17871449609745793
68,1,0.1703,0.2139,
68,2,0.1505,0.2181,
68,3,0.1445,0.2189,0.17930532937102459
69,1,0.1645,0.1446,
69,2,0.1504,0.1441,
69,3,0.1455,0.1414,0.17875560934560886
70,1,0.1814,0.1339,
70,2,0.1665,0.1316,
70,3,0.1603,0.1314,0.17807883120008877
71,1,0.1583,0.1329,
71,2,0.1465,0.1325,
71,3,0.142,0.1276,0.17736788734164036
72,1,0.1613,0.1399,
72,2,0.1466,0.1412,
72,3,0.1408,0.14,0.17684913292113277
73,1,0.1656,0.1644,
73,2,0.1485,0.1666,
73,3,0.1438,0.1668,0.17671114522708606
74,1,0.1614,0.2067,
74,2,0.1479,0.2051,
74,3,0.1438,0.2067,0.17711587663035136
75,1,0.1643,0.1639,
75,2,0.1535,0.1657,
75,3,0.1488,0.169,0.1770076263944308
76,1,0.1495,0.2001,
76,2,0.136,0.2068,
76,3,0.1313,0.2132,0.17748355032189897
77,1,0.1618,0.3164,
77,2,0.1488,0.3338,
77,3,0.1445,0.3392,0.1795838764542109
78,1,0.1412,0.2003,
78,2,0.1287,0.2019,
78,3,0.1244,0.2074,0.17994023888156965
79,1,0.1655,0.1168,
79,2,0.1512,0.1184,
79,3,0.1459,0.1172,0.17914644779661035
80,1,0.1634,0.1726,
80,2,0.1495,0.1719,
80,3,0.145,0.1755,0.17910100491717457
81,1,0.1503,0.1555,
81,2,0.1331,0.1593,
81,3,0.1273,0.1605,0.17887141003652854
82,1,0.1577,0.1518,
82,2,0.1444,0.1524,
82,3,0.1397,0.1536,0.17856318330982837
83,1,0.1621,0.189,
83,2,0.1493,0.1945,
83,3,0.1443,0.205,0.17888148173869375
84,1,0.1569,0.1528,
84,2,0.146,0.1566,
84,3,0.1418,0.159,0.17864518497316612
85,1,0.1599,0.1558,
85,2,0.1471,0.1571,
85,3,0.1419,0.1582,0.17840490577852025
86,1,0.1735,0.1115,
86,2,0.1603,0.1112,
86,3,0.1572,0.1106,0.1776165718775849
87,1,0.1465,0.1817,
87,2,0.1335,0.1872,
87,3,0.1289,0.1888,0.17774542472485838
88,1,0.1346,0.1708,
88,2,0.1245,0.1764,
88,3,0.121,0.1794,0.17776442971080542
89,1,0.1506,0.1208,
89,2,0.1381,0.1202,
