Video,Frame,SIM,CC,NSS,Recall,Area_Pct
132737131-220_997.mp4,0,0.1811,0.4305,2.572,0.9243,0.121
132737131-220_997.mp4,147,0.4145,0.652,3.2053,0.8962,0.0764
132737131-220_997.mp4,295,0.2667,0.3423,1.0028,0.3571,0.1154
132737131-220_997.mp4,442,0.4491,0.7751,4.2441,0.9067,0.0708
132737131-220_997.mp4,590,0.3382,0.5741,2.9331,0.7794,0.1101
132737131-998_1998.mp4,0,0.3457,0.5992,2.4662,0.9369,0.1127
132737131-998_1998.mp4,147,0.3898,0.6618,3.0161,0.9336,0.1146
132737131-998_1998.mp4,295,0.4303,0.6434,2.4124,0.8571,0.1361
132737131-998_1998.mp4,442,0.4844,0.7652,3.5002,0.8916,0.0839
132737131-998_1998.mp4,590,0.2561,0.3253,1.3548,0.4372,0.088
133198295-0_594.mp4,0,0.4903,0.8588,5.4751,0.9931,0.0583
133198295-0_594.mp4,138,0.2889,0.4245,1.5744,0.3824,0.0776
133198295-0_594.mp4,277,0.2992,0.4851,1.765,0.4189,0.0698
133198295-0_594.mp4,416,0.4897,0.7034,2.8979,0.8761,0.093
133198295-0_594.mp4,555,0.3307,0.4403,1.5108,0.5127,0.0849
134759577-0_1016.mp4,0,0.2427,0.3464,1.2394,0.3119,0.101
134759577-0_1016.mp4,147,0.4027,0.6969,2.6064,0.8966,0.0988
134759577-0_1016.mp4,295,0.3674,0.5762,2.2949,0.8102,0.1247
134759577-0_1016.mp4,442,0.4546,0.7219,3.4063,0.907,0.0977
134759577-0_1016.mp4,590,0.3511,0.6977,3.9311,0.9333,0.0855
134759577-2014_3024.mp4,0,0.3963,0.6466,3.1181,0.9045,0.123
134759577-2014_3024.mp4,147,0.2582,0.5269,2.3353,0.8154,0.1011
134759577-2014_3024.mp4,295,0.2112,0.3585,1.7702,0.5033,0.1014
134759577-2014_3024.mp4,442,0.2559,0.3915,1.3956,0.4276,0.099
134759577-2014_3024.mp4,590,0.301,0.5361,2.4877,0.7949,0.0964
134804107-0_1104.mp4,0,0.3352,0.7075,4.9977,1.0,0.0654
134804107-0_1104.mp4,147,0.3118,0.3275,0.9566,0.2442,0.098
134804107-0_1104.mp4,295,0.3961,0.4983,1.7269,0.4473,0.0828
134804107-0_1104.mp4,442,0.3803,0.6638,2.8696,0.9067,0.0926
134804107-0_1104.mp4,590,0.3757,0.586,2.8347,0.7488,0.0855
135497286-0_1113.mp4,0,0.3424,0.6859,2.9829,0.9551,0.09
135497286-0_1113.mp4,147,0.4321,0.7342,3.3972,0.9053,0.079
135497286-0_1113.mp4,295,0.2437,0.4518,2.097,0.7879,0.1329
135497286-0_1113.mp4,442,0.1931,0.373,1.9922,0.8408,0.112
135497286-0_1113.mp4,590,0.2993,0.4232,1.3664,0.5652,0.1375
135969487-0_1622.mp4,0,0.3666,0.6059,2.5327,0.8235,0.1138
135969487-0_1622.mp4,147,0.3576,0.415,1.0831,0.3022,0.0877
135969487-0_1622.mp4,295,0.2702,0.3226,1.1283,0.3385,0.0853
135969487-0_1622.mp4,442,0.3637,0.626,3.5093,0.7389,0.0746
135969487-0_1622.mp4,590,0.3104,0.5266,2.8232,0.7742,0.1082
136323693-0_979.mp4,0,0.3372,0.4878,1.8091,0.5654,0.0965
136323693-0_979.mp4,147,0.3575,0.6546,2.9668,0.94,0.1073
136323693-0_979.mp4,295,0.3105,0.6039,3.1215,0.9583,0.1111
136323693-0_979.mp4,442,0.3531,0.5578,2.2744,0.7609,0.1128
136323693-0_979.mp4,590,0.2268,0.4045,2.1727,0.7883,0.0979
136323693-980_1992.mp4,0,0.3912,0.6566,3.0659,0.9213,0.1172
136323693-980_1992.mp4,147,0.3566,0.5063,1.8781,0.7439,0.1534
136323693-980_1992.mp4,295,0.3717,0.5864,1.9354,0.6863,0.1213
136323693-980_1992.mp4,442,0.3435,0.6046,2.1664,0.8406,0.1291
136323693-980_1992.mp4,590,0.3296,0.4547,1.6729,0.6912,0.1046
136639555-990_2043.mp4,0,0.2151,0.2364,0.678,0.1457,0.0801
136639555-990_2043.mp4,147,0.3905,0.5599,1.9402,0.6921,0.1293
136639555-990_2043.mp4,295,0.2632,0.4257,1.6571,0.5,0.0944
136639555-990_2043.mp4,442,0.4654,0.7867,4.5964,0.9867,0.0843
136639555-990_2043.mp4,590,0.4509,0.7283,3.066,0.8628,0.0956
138268509-100_1009.mp4,0,0.4493,0.7021,3.0866,0.9511,0.1241
138268509-100_1009.mp4,147,0.349,0.426,1.3198,0.6138,0.115
138268509-100_1009.mp4,295,0.3546,0.6614,3.9272,0.8784,0.0884
138268509-100_1009.mp4,442,0.3278,0.4575,1.5785,0.4258,0.0889
138268509-100_1009.mp4,590,0.4524,0.6326,2.558,0.8,0.092
138606265-0_1033.mp4,0,0.4147,0.6251,2.1771,0.8942,0.1605
138606265-0_1033.mp4,147,0.3289,0.4359,1.2629,0.2838,0.1092
138606265-0_1033.mp4,295,0.4285,0.6901,2.8711,0.9023,0.0922
138606265-0_1033.mp4,442,0.2068,0.2774,1.2529,0.4167,0.1109
138606265-0_1033.mp4,590,0.3835,0.63,2.4787,0.7149,0.0934
139425830-0_517.mp4,0,0.3446,0.4633,1.3834,0.5037,0.1344
139425830-0_517.mp4,145,0.3576,0.6091,2.279,0.7626,0.1072
139425830-0_517.mp4,290,0.4146,0.7071,3.1924,0.8873,0.1139
139425830-0_517.mp4,435,0.2615,0.3276,1.0082,0.3915,0.1167
